username, created_at, lng, lat, text
tanoonieA, Thu Jun 11 08:40:00 +0000 2020, -90.011008, 29.982601, someone tell him i'm crazy. 
KodyDotson, Thu Jun 11 08:40:01 +0000 2020, -149.758794, 61.235042, @bigshnab @TajaeMoment @luther_drew You’re playing it with us, bro! 
LuhStalli, Thu Jun 11 08:40:01 +0000 2020, -95.446486, 29.838495, The burger I just got 🤮🤮 
bdavishh, Thu Jun 11 08:40:02 +0000 2020, -110.915573, 32.189391, @Nick_Clamorgan @sms_sullivan @Yoder_Esqq Umm. Let’s even go a hard left Anti fascist - fascist being. peopel who a… https://t.co/yVy96LEZZp 
2KEEMdomCome, Thu Jun 11 08:40:01 +0000 2020, -89.876449, 32.571032, Ion know what your body look like but he couldve been referring to "Elastigirl" and couldn't think of her name 😂 
jawofsteel2014, Thu Jun 11 08:40:02 +0000 2020, -121.300731, 38.763160, @elle_desylva This breaks my heart 
Guaje18__, Thu Jun 11 08:40:02 +0000 2020, -122.630908, 45.536402, @BleuBruno @_two6ix They made the correction in the comments but it’s still a typo that creates a potential environ… https://t.co/lefC8UzvDA 
moutoncovewx, Thu Jun 11 08:40:02 +0000 2020, -92.218675, 29.875016, 66.4F (Feels: 69.6F) - Humidity: 90% - Wind: 0.9mph ENE - Gust: 1.1mph - Pressure: 30.244in #weather https://t.co/75yzNJ23Eh 
RomanMountsXXX, Thu Jun 11 08:40:02 +0000 2020, -90.247824, 38.653771, @chuberino1 Happy Birthday 🎈 https://t.co/0Tp4cIxwns 
idcccc_domi, Thu Jun 11 08:40:02 +0000 2020, -86.611411, 34.706027, @KingTheeKid Thank you ❤️❤️❤️ 
manilaprincess_, Thu Jun 11 08:40:03 +0000 2020, -118.400884, 33.889487, Ppl who haven't fully accepted themselves despise when you are unapologetically YOU. That's why when ppl are quick… https://t.co/BRRmzR2OhP 
ShelbyLeiqh_, Thu Jun 11 08:40:03 +0000 2020, -84.433106, 33.767195, Cramps kicking my ass 😖 
Kaianuilalawalu, Thu Jun 11 08:40:04 +0000 2020, -166.599693, 23.691364, @stoneydubb @GodOfTheGallows @keikiakapueo @LawakuaKamahele Kūlaʻilaʻi she's P! Shes a moʻo that lives at Kūlaʻilaʻ… https://t.co/YukWec5g6M 
jrvictormarquez, Thu Jun 11 08:40:04 +0000 2020, -117.022463, 32.633767, @_JBsplash give it a year young buck 
diamonique21, Thu Jun 11 08:40:04 +0000 2020, -117.104989, 32.810012, https://t.co/KsMhPHVm7K 
RetroNetro, Thu Jun 11 08:40:04 +0000 2020, -117.022695, 38.502147, If this ain’t the truth 👏🏼 
lparker3, Thu Jun 11 08:40:05 +0000 2020, -85.385497, 32.636396, @RyClayson @AETV Cowards. 
RodzMike, Thu Jun 11 08:40:05 +0000 2020, -123.924352, 45.994304, @IvankaTrump @realDonaldTrump Oh😂😂😂😂😂this stupid cute bitch 
everylotchicago, Thu Jun 11 08:40:05 +0000 2020, -87.717640, 41.932560, 3609 West Wolfram Street https://t.co/vgFUhpvVMO 
syamu_ro_yp, Thu Jun 11 08:40:05 +0000 2020, -75.770041, 42.746617, @matcha303 夜中でいいので最高にキモいツイートしてください 
Cp2Sleepy, Thu Jun 11 08:40:05 +0000 2020, -72.757385, 41.500753, @TheHoopCentral @dnice1110 @BotteonCraig  i know you talkin shit, you better pad up cause I'm coming.... https://t.co/I5cdJNpZgv 
hax0rm0m, Thu Jun 11 08:40:07 +0000 2020, -83.804475, 27.698682, @fras99 Absolutely NOTHINGI would be closed that night! 
