username, created_at, lng, lat, text
TaraLynKoebel, Thu Jun 11 10:07:26 +0000 2020, -80.984344, 43.368880, @Country104 Here’s a song for you… Woke Up Like This by River Town Saintshttps://t.co/zBadO17g02 
bobbycarljr, Thu Jun 11 10:07:28 +0000 2020, -98.540651, 29.417501, Trump has fooled and programmed his “zombie” following to be even more vocally (and unfortunately physically) aggre… https://t.co/bX3UQHsbF1 
daprivate3, Thu Jun 11 10:07:28 +0000 2020, -96.621634, 32.907642, big fat friend. feeling like a big fat friend. 
Gordon5Pat, Thu Jun 11 10:07:28 +0000 2020, -83.804475, 27.698682, The blood of Jesus purifies us from all sin. 1 John 1:7 
HaydenBrewer5, Thu Jun 11 10:07:29 +0000 2020, -118.411907, 34.020789, @MrShyGuyBuddy Hey Mr. Buddy, do you have those cute women dress up like they are in the 50s? If you do, I’d be glad to join your team. 
TknbyWind, Thu Jun 11 10:07:29 +0000 2020, -82.672903, 27.795720, Some people just don't understand Seattle &amp; the PNW politics in general west of the mountains!!! This is a good rea… https://t.co/smFpKePB75 
ciscosevilla1, Thu Jun 11 10:07:30 +0000 2020, -114.584753, 32.668218, @OfficialMLK3 https://t.co/dPToZgJA8X 
koolkaryn, Thu Jun 11 10:07:30 +0000 2020, -83.804475, 27.698682, @peace3314 @realDonaldTrump @JayInslee Followback? 😎❤#StrongerTogether 
RobertAbruzzes3, Thu Jun 11 10:07:30 +0000 2020, -82.665911, 28.300058, @CuomoPrimeTime @ChrisCuomo https://t.co/UZO6u45eC8 
ChiromanGlass, Thu Jun 11 10:07:32 +0000 2020, -84.433106, 33.767195, DISCUSS THE PARAMETERS OF YOIR RELATIONSHIP BEFORE YOU ENTER IT! 
KluesnerJoyner, Thu Jun 11 10:07:32 +0000 2020, -79.861034, 35.170499, @book_meup @LouDPhillips What's wring with Lish? 
Hampi0252, Thu Jun 11 10:07:32 +0000 2020, -73.988685, 45.923086, La belle visite! https://t.co/KuzDXBWnoi 
NikkiFitness, Thu Jun 11 10:07:33 +0000 2020, -73.639410, 41.050217, A cooling towel, waterproof phone case, clothes with weights in them, the best gym bags (my gym I teach at @equinox… https://t.co/XWbP0b8yIV 
FuzzyColbert, Thu Jun 11 10:07:33 +0000 2020, -71.683502, 42.036939, @Mike_Pence https://t.co/4HNfBKTYTC 
UncleGussys, Thu Jun 11 10:07:33 +0000 2020, -73.972430, 40.757760, Share the Love add the Feta 😀🇬🇷❤️ @ Uncle Gussy's https://t.co/VqI6hcPNt0 
VtaeeFrmEc, Thu Jun 11 10:07:34 +0000 2020, -81.705467, 41.495940, Them all my baesss 😋😋 
mspowers, Thu Jun 11 10:07:34 +0000 2020, -78.853563, 42.896230, @LaurenHall @kellydudzikWGRZ @WGRZ Anxious mostly when nursing homes can open. They don't seem to know. My mom is b… https://t.co/GDF9PyxknM 
M_Iavecchia, Thu Jun 11 10:07:35 +0000 2020, -79.420865, 38.003376, @NBCNews Good! 
michael_k_woods, Thu Jun 11 10:07:35 +0000 2020, -119.306608, 37.269176, @CNBC This movie sucks. 
PJDeRosa, Thu Jun 11 10:07:35 +0000 2020, -87.893000, 41.852241, @MayorJenny You’re the mayor of Seattle? Could’ve fooled me, looks more like some dystopian shit hole in a Third World country somewhere? 
TheresaDelano, Thu Jun 11 10:07:36 +0000 2020, -89.573844, 40.744269, No idea what day or time it is anymore, but searching for joy in every day! @ The Publik House https://t.co/gOSrEiIoG7 
MrsPdj, Thu Jun 11 10:07:36 +0000 2020, -82.442694, 27.996595, Hilarious 
khailatte, Thu Jun 11 10:07:36 +0000 2020, -73.948775, 40.655138, Cracker Barrel 
webmedia15, Thu Jun 11 10:07:37 +0000 2020, -122.419000, 37.779300, Apple has become the first US company that reached $1.5 trillion market cap and according to the investors and anal… https://t.co/fqKdugptLe 
jeffmax57, Thu Jun 11 10:07:37 +0000 2020, -71.682456, 42.415569, Worth a watch. I wonder what will be different after COVID-19 here in the US...an economic bailout for the country'… https://t.co/WrZkGVK5zb 
HandsomeDerric2, Thu Jun 11 10:07:38 +0000 2020, -74.162658, 40.792103, @MarcoAGarcia @KendrickPerkins @big_business_ https://t.co/NCxgtYCXH8 
easyy__e, Thu Jun 11 10:07:38 +0000 2020, -83.173867, 32.678207, @DammCorey2 Me 
icarus_two, Thu Jun 11 10:07:39 +0000 2020, -88.324649, 36.612349, @AGabrielresists @RedStatePatrio1 @acnewsitics Chill out please! It's a good restaurant, and it doesn't matter what… https://t.co/0kl1J89W8W 
jchrisallen, Thu Jun 11 10:07:39 +0000 2020, -89.922029, 35.133521, Cc @KyleBDempsey 
KennyKruger1, Thu Jun 11 10:07:39 +0000 2020, -82.669467, 40.365160, @reneejess0205 It's still going up everywhere. Ohio keeps going up a few hundred a day and the death toll is at a M… https://t.co/BAq92gtqF4 
CaptainBubba2, Thu Jun 11 10:07:39 +0000 2020, -82.669467, 40.365160, ... the fake weeds outgrew our fake flowers ... ☘️🔥💧🍀 
Miss_Bellatrix, Thu Jun 11 10:07:40 +0000 2020, -81.710025, 43.737736, @InkedHistorian @NASCAR https://t.co/BjdWHRSM4V 
everyEarthquake, Thu Jun 11 10:07:40 +0000 2020, -117.744333, 35.909167, USGS reports a M0.72 #earthquake 15km ESE of Little Lake, CA on 6/11/20 @ 10:02:39 UTC https://t.co/uKkWqNYbL5 #quake 
everyEarthquake, Thu Jun 11 10:07:40 +0000 2020, -116.759000, 33.675000, USGS reports a M0.85 #earthquake 8km SSW of Idyllwild, CA on 6/11/20 @ 10:02:27 UTC https://t.co/qTYrGDrF8P #quake 
lindasm87705438, Thu Jun 11 10:07:41 +0000 2020, -80.824755, 41.864704, @rolandsmartin Hi, Roland do u think, Candace - Owens - Farmer , can donate her money won by the NAACP , to Black L… https://t.co/oosLgN081I 
cjhallock, Thu Jun 11 10:07:41 +0000 2020, -82.480475, 36.280327, Hey @realDonaldTrump... they THUGS? 
MarionM47182990, Thu Jun 11 10:07:41 +0000 2020, -75.117998, 40.004866, https://t.co/5QNHbcxqS4 
timeyee, Thu Jun 11 10:07:42 +0000 2020, -100.076888, 31.168893, @ladyfromdalou Congratulations. I am an alumnus of DePaul University. Pleased to see more great things coming from DePaul. 
robtruck2424, Thu Jun 11 10:07:42 +0000 2020, -115.135165, 36.060964, Yes every day when I’m around black people ! Weiss get told I should not be here 
stanecio, Thu Jun 11 10:07:42 +0000 2020, -80.761158, 41.097471, @Dax_x98 No, live and let live! 
craigdevereese, Thu Jun 11 10:07:45 +0000 2020, -74.856718, 43.045040, @KatrinaSmithTV good morning cutie 
RobertAbruzzes3, Thu Jun 11 10:07:46 +0000 2020, -82.665911, 28.300058, @CuomoPrimeTime @ChrisCuomo https://t.co/fhi9bpb41A 
MattGajtka, Thu Jun 11 10:07:46 +0000 2020, -80.033394, 40.518436, @baldsince16 @MikeDarnay Oh no 
rw63, Thu Jun 11 10:07:47 +0000 2020, -112.543989, 33.435620, Good the “ B” deserves to be recalled she no help to the Michigan people a govener works FOR the people this one do… https://t.co/gnbsJvpJll 
TruthIsSB1, Thu Jun 11 10:07:47 +0000 2020, -79.856300, 36.662206, Would someone please inform Trump that he is a geriatric aged old man?? 
jlcenergyusa, Thu Jun 11 10:07:47 +0000 2020, -75.384245, 40.132075, https://t.co/bIh6BC39sl 
FierceCheerMom, Thu Jun 11 10:07:48 +0000 2020, -79.420865, 38.003376, Animals..that need to just be put down. 
connellyduke09, Thu Jun 11 10:07:48 +0000 2020, -81.469684, 28.586642, @ballsdeepinbtc Any amount of Link makes you a marine! ❤️😊🐾 
VICTORL07819322, Thu Jun 11 10:07:48 +0000 2020, -86.464842, 36.372563, @J_TrumpIN Fox is Good for Tucker and Hannity and Lou Dobbs. I started watching OAN.. NEWS CHANNEL. About a year ag… https://t.co/Nb059955Pf 
tokenbrotha, Thu Jun 11 10:07:48 +0000 2020, -115.223125, 36.232915, All this stuff y’all have been fighting over online, Corona doesn’t give a rat’s ass about any of it or your sides… https://t.co/R2NOjeew0k 
NY_Finesse, Thu Jun 11 10:07:48 +0000 2020, -80.926628, 33.631140, From Taliyah To Taliyah , I feel you sus.   Btw .. I love when people spell their name the same as me 😂 
