username, created_at, lng, lat, text
WesleyWhistle, Thu Jun 11 10:22:17 +0000 2020, -77.014398, 38.898603, https://t.co/64n7zulZVB 
PAMSMITHARTIST, Thu Jun 11 10:22:18 +0000 2020, -81.351700, 28.597800, https://t.co/G0IZiYDAJ7 #seascape #landscape #painting #artistsoninstagram #art #etsy #etsyseller @ Winter Park, Fl… https://t.co/kVlnwWcsux 
Metlwiz, Thu Jun 11 10:22:19 +0000 2020, -77.604684, 41.117936, @CynthiaHawk21 @EinsteinsMagic @Patti_Sc60 I seriously doubt the good citizens will have a right to vote and if the… https://t.co/l1ftviEhEA 
Lxwd_, Thu Jun 11 10:22:19 +0000 2020, -73.849441, 40.850347, Haven’t slept in days. 
aemusic210, Thu Jun 11 10:22:19 +0000 2020, -98.540651, 29.417501, Who ever ends up w me is gonna be one lucky bitchhhhh 
ron_humphrey, Thu Jun 11 10:22:20 +0000 2020, -83.173867, 32.678207, @Barkiologist @Carle_tt Wow. What an idea. 
Christi97445615, Thu Jun 11 10:22:20 +0000 2020, -77.014398, 38.898603, @DinoFuoco @socalaura @HKrassenstein @realDonaldTrump Typical Trump supporter recklessly spewing out    (mis) infor… https://t.co/v8I2qRZLeq 
massiel1211, Thu Jun 11 10:22:20 +0000 2020, -73.849441, 40.850347, @realDonaldTrump I love it!!!❤️ 
zidanpragata, Thu Jun 11 10:22:20 +0000 2020, -112.124676, 33.552863, @kaikoprtw di ujung gang jangan ada bank 
_BiggDaddyTesaa, Thu Jun 11 10:22:21 +0000 2020, -97.754724, 30.323346, I just hate getting up for work 
MFMProductionCo, Thu Jun 11 10:22:22 +0000 2020, -81.393653, 28.664804, @churchplanting We agree!! 😉 
itizwhatitizzy, Thu Jun 11 10:22:22 +0000 2020, -119.228992, 34.289689, 17/18 year old me was so care-free and hopeful man I miss her 
yo_mikey_, Thu Jun 11 10:22:22 +0000 2020, -73.993380, 40.752630, #throwbackthursday #tbt #newyork #nyc @ New Yorker Hotel https://t.co/tGSpWjUnWQ 
baseballdadto2, Thu Jun 11 10:22:22 +0000 2020, -76.069946, 36.802541, @PortsmouthPD Spineless Police Chief and city government.  What a joke. 
gabby2lastnames, Thu Jun 11 10:22:22 +0000 2020, -80.162128, 25.985174, @SarahJoProvost 😂😂😂 
Bibby_2Live, Thu Jun 11 10:22:23 +0000 2020, -77.014398, 38.898603, @Poppin_azz_day Bet I’m boutta go the website 
pauli_jorge, Thu Jun 11 10:22:23 +0000 2020, -73.968542, 40.780709, @Jennife14860185 @TamraTimbrook @_IAmCannabis @Zip_zona @sohappy28833563 @StephaniedeJag3 @LARRYIRBY6 @R3DSPL1FF… https://t.co/dGNY2n1syp 
Armoredheart7, Thu Jun 11 10:22:23 +0000 2020, -93.764294, 30.093627, I'm at Golden Triangle Emergency Center in West Orange, TX https://t.co/AqRcI7zr7e 
keenanorrdc, Thu Jun 11 10:22:23 +0000 2020, -77.036700, 38.895100, #keenanorrdc #630 @ Washington D.C. https://t.co/JQrCpOw1EX 
LAS_Curry, Thu Jun 11 10:22:23 +0000 2020, -82.442694, 27.996595, @TruesdaleZay @MixerRetweet @Watch_Mixer @UniteMixer @BCCX_Community @blizbling @Xbox Your growing bro! Don’t stop ❤️ 
Mommabearma1, Thu Jun 11 10:22:23 +0000 2020, -71.203341, 41.742552, @wsteaks @Santucci @KFaulders Kushner  is driving this bus.  Trump is clearly afraid of him.  Why? 
amorlashea, Thu Jun 11 10:22:24 +0000 2020, -76.362276, 37.050897, people definitely bout to get cut tf off 🤣 
DiccKickum, Thu Jun 11 10:22:24 +0000 2020, -111.931711, 34.168253, @RaiderJude @WNEP We're taking your participation trophies and you can't stop us ❤️Cry more, child. 
PelagicPoet, Thu Jun 11 10:22:24 +0000 2020, -117.467795, 47.954472, -Washington for three years now and supposedly they were coming out to visit this month for the first time ever but… https://t.co/Oe7OBmeXZ7 
DECENCY_WINS, Thu Jun 11 10:22:25 +0000 2020, -81.305654, 29.898454, @MikaelaShiffrin @KindnessWinsFnd @uninterrupted Add me to you “follow” group 💖 
Train_2_Go, Thu Jun 11 10:22:25 +0000 2020, -83.173867, 32.678207, My condolences 🙏🏾 
AmmyStarForgi, Thu Jun 11 10:22:25 +0000 2020, -72.987696, 40.822332, @AcidHybrid Ooooo maybe!!! 
okforealtho, Thu Jun 11 10:22:25 +0000 2020, -98.540651, 29.417501, @DeedeeKIRO7 @KIRO7Seattle Drone strikes will nip this in the butt. 
Donniegirl73, Thu Jun 11 10:22:25 +0000 2020, -77.106830, 38.722179, @WalshFreedom Same with me. I used to say that too. 
n2g2bt, Thu Jun 11 10:22:26 +0000 2020, -83.173867, 32.678207, @RyanAFournier Wanna know history that’s never taught? The biggest cases of voter fraud were all done by republicans 
derbybrand, Thu Jun 11 10:22:26 +0000 2020, -77.688536, 43.251452, #DERBYbananas  🍌 all Around the World 🌏 Regards from #Greece 🇬🇷 💙💛💙  🙏😇 https://t.co/Ig2VffjTEX 
BobHausvik, Thu Jun 11 10:22:26 +0000 2020, -96.731143, 43.541015, @_Llamazing I thought you meant lying dirtbags https://t.co/tGC6BsLyVM 
jerrijuana360, Thu Jun 11 10:22:26 +0000 2020, -79.420865, 38.003376, People are gonna talk regardless but they don’t know what you’ve been through 
QveenSky_, Thu Jun 11 10:22:26 +0000 2020, -89.922029, 35.133521, childish ass lil boy. 
AwkwardAppeal, Thu Jun 11 10:22:26 +0000 2020, -118.411907, 34.020789, https://t.co/KNS9BSNF6j 
nalmahroug, Thu Jun 11 10:22:26 +0000 2020, -84.047553, 39.727936, #حفتر_حبيب_الشعب 
CalvinCoach, Thu Jun 11 10:22:27 +0000 2020, -81.685561, 33.418304, You only as real as the circumstances that make you... 
stacykornski, Thu Jun 11 10:22:28 +0000 2020, -81.263631, 34.100920, @QueenMD2025 Mine too 😢 now my aunt was fancy and boiled them but cut them in the shape of pac man and put them in kraft Mac n cheese 
